Disease,Medicine,Side_Effects,Min_Age,Max_Age,Min_Weight,Max_Weight,Min_BP,Max_BP,Alcohol_Consumption,Pregnant,Allergies,Current_Medications,Blood_Group,Effectiveness_1_10
Lung cancer,Paracetamol,"Nausea, Headache, Dizziness",6,52,41,106,98,156,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A-,8
Influenza,Paracetamol,"Nausea, Headache, Dizziness",13,52,32,72,87,135,Avoid,Yes,"Penicillin,Dust,None",None,A+,8
GERD,Ranitidine,"Nausea, Headache, Dizziness",2,54,29,105,91,145,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",A+,7
Leukemia,Amoxicillin,"Nausea, Headache, Dizziness",14,74,34,91,85,131,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",B-,8
Dengue,Paracetamol,"Nausea, Headache, Dizziness",2,84,26,80,95,140,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB+,7
Crohn’s disease,Paracetamol,"Nausea, Headache, Dizziness",12,55,33,104,97,150,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",AB-,6
Coronary artery disease,Paracetamol,"Nausea, Headache, Dizziness",15,52,33,105,80,148,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",B-,8
Eczema,Ibuprofen,"Nausea, Headache, Dizziness",10,51,34,106,87,141,Low,No,None,None,AB+,9
Malaria,Artemether,"Nausea, Headache, Dizziness",10,79,45,69,99,154,Low,Yes,None,None,B+,9
Parkinson’s disease,Ibuprofen,"Nausea, Headache, Dizziness",7,56,26,66,83,136,Moderate,Yes,Food Allergy,None,B-,9
Common Cold,Cetirizine,"Nausea, Headache, Dizziness",8,79,30,85,94,158,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A-,10
Dengue,ORS,"Nausea, Headache, Dizziness",8,83,42,77,88,152,Low,Yes,None,"None,Statins,Insulin,BP Meds",B-,9
Lung cancer,Paracetamol,"Nausea, Headache, Dizziness",12,79,36,71,89,122,Avoid,Yes,None,None,AB+,10
Heart attack,Clopidogrel,"Nausea, Headache, Dizziness",12,56,40,65,96,170,Low,No,Food Allergy,None,B+,7
Common Cold,Phenylephrine,"Nausea, Headache, Dizziness",10,56,45,103,90,164,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B+,9
Cirrhosis,Amoxicillin,"Nausea, Headache, Dizziness",9,74,39,62,85,120,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB+,10
Heart attack,Aspirin,"Nausea, Headache, Dizziness",14,71,28,104,95,157,Avoid,Yes,"Penicillin,Dust,None",None,A+,6
Endometriosis,Paracetamol,"Nausea, Headache, Dizziness",9,59,38,91,96,155,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",A-,10
Hypothyroidism,Levothyroxine,"Nausea, Headache, Dizziness",5,69,28,77,82,151,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,6
Zika virus,Amoxicillin,"Nausea, Headache, Dizziness",15,78,44,75,80,147,Moderate,Yes,Food Allergy,None,O+,8
Hypertension,Amlodipine,"Nausea, Headache, Dizziness",14,64,29,97,94,144,Low,Yes,None,"None,Statins,Insulin,BP Meds",B-,10
COPD,Ibuprofen,"Nausea, Headache, Dizziness",8,60,30,100,100,123,Moderate,No,"Penicillin,Dust,None",None,O+,8
Rabies,Ibuprofen,"Nausea, Headache, Dizziness",11,80,25,71,96,146,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,8
Anemia,Iron supplements,"Nausea, Headache, Dizziness",12,52,30,85,92,137,Moderate,No,None,"None,Statins,Insulin,BP Meds",A-,10
Chickenpox,Ibuprofen,"Nausea, Headache, Dizziness",13,50,29,103,93,134,Low,No,None,None,AB+,8
GERD,Ranitidine,"Nausea, Headache, Dizziness",13,52,43,65,83,122,Moderate,No,None,None,AB-,8
Chronic kidney disease,Amoxicillin,"Nausea, Headache, Dizziness",12,78,42,88,96,166,Moderate,Yes,None,None,O+,7
Alzheimer’s disease,Amoxicillin,"Nausea, Headache, Dizziness",4,54,37,74,83,162,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B-,8
HIV/AIDS,Lamivudine,"Nausea, Headache, Dizziness",5,81,25,83,95,138,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,7
Epilepsy,Amoxicillin,"Nausea, Headache, Dizziness",15,84,34,96,98,142,Low,Yes,"Penicillin,Dust,None",None,AB-,7
Migraine,Paracetamol,"Nausea, Headache, Dizziness",5,85,25,83,96,121,Avoid,No,Food Allergy,None,AB+,6
Common Cold,Cetirizine,"Nausea, Headache, Dizziness",1,59,37,103,90,128,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",A+,6
Crohn’s disease,Paracetamol,"Nausea, Headache, Dizziness",12,55,33,104,97,150,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",AB-,6
Rabies,Amoxicillin,"Nausea, Headache, Dizziness",8,77,44,83,99,134,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,6
GERD,Pantoprazole,"Nausea, Headache, Dizziness",5,52,34,60,83,165,Avoid,Yes,"Penicillin,Dust,None",None,AB-,7
Psoriasis,Amoxicillin,"Nausea, Headache, Dizziness",4,74,44,66,94,159,Low,Yes,Food Allergy,None,B+,8
Pneumonia,Amoxicillin,"Nausea, Headache, Dizziness",12,62,39,92,97,164,Avoid,No,Food Allergy,None,B+,9
COPD,Ibuprofen,"Nausea, Headache, Dizziness",1,74,26,91,99,157,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",B-,10
HIV/AIDS,Lamivudine,"Nausea, Headache, Dizziness",8,73,30,108,94,120,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",A-,7
Endometriosis,Ibuprofen,"Nausea, Headache, Dizziness",1,82,39,75,82,133,Moderate,No,None,None,A-,6
Anxiety disorder,Buspirone,"Nausea, Headache, Dizziness",5,73,43,94,92,142,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B+,6
Migraine,Ibuprofen,"Nausea, Headache, Dizziness",12,59,45,97,85,159,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A-,9
Tuberculosis,Ibuprofen,"Nausea, Headache, Dizziness",3,84,29,69,98,170,Moderate,No,Food Allergy,None,AB-,10
Epilepsy,Paracetamol,"Nausea, Headache, Dizziness",11,57,43,93,85,124,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB+,6
Mumps,Paracetamol,"Nausea, Headache, Dizziness",3,83,41,87,98,157,Low,No,"Penicillin,Dust,None",None,A+,9
Hepatitis C,Amoxicillin,"Nausea, Headache, Dizziness",7,61,29,108,87,159,Avoid,No,Food Allergy,None,A-,9
Hypertension,Losartan,"Nausea, Headache, Dizziness",1,56,37,68,95,128,Moderate,Yes,None,None,O+,10
Asthma,Salbutamol,"Nausea, Headache, Dizziness",8,76,26,98,93,125,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB+,6
Colon cancer,Ibuprofen,"Nausea, Headache, Dizziness",3,71,39,61,97,154,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O+,6
Bronchitis,Amoxicillin,"Nausea, Headache, Dizziness",14,65,28,97,100,137,Avoid,No,"Penicillin,Dust,None",None,AB+,6
Acne,Ibuprofen,"Nausea, Headache, Dizziness",4,62,31,74,96,154,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,6
Kidney stones,Paracetamol,"Nausea, Headache, Dizziness",2,61,43,80,96,163,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B-,6
Zika virus,Ibuprofen,"Nausea, Headache, Dizziness",2,54,28,109,86,169,Low,No,Food Allergy,None,O-,7
Cholera,Ibuprofen,"Nausea, Headache, Dizziness",5,83,44,85,99,138,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O-,8
Breast cancer,Paclitaxel,"Nausea, Headache, Dizziness",7,50,45,63,99,154,Moderate,No,"Penicillin,Dust,None",None,O+,7
Breast cancer,Doxorubicin,"Nausea, Headache, Dizziness",14,68,45,108,80,151,Moderate,Yes,"Penicillin,Dust,None",None,A+,8
Acne,Paracetamol,"Nausea, Headache, Dizziness",9,57,34,90,86,122,Moderate,No,Food Allergy,None,O+,9
Psoriasis,Amoxicillin,"Nausea, Headache, Dizziness",8,60,26,70,92,151,Moderate,No,None,None,O+,7
Osteoarthritis,Paracetamol,"Nausea, Headache, Dizziness",15,69,30,109,81,148,Avoid,No,"Penicillin,Dust,None",None,O+,6
Acne,Amoxicillin,"Nausea, Headache, Dizziness",13,72,25,78,90,133,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",A+,9
Prostate cancer,Amoxicillin,"Nausea, Headache, Dizziness",8,58,32,94,86,123,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,8
Common Cold,Paracetamol,"Nausea, Headache, Dizziness",10,65,43,64,99,142,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,10
Osteoporosis,Paracetamol,"Nausea, Headache, Dizziness",1,71,25,65,95,157,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB+,6
Leukemia,Ibuprofen,"Nausea, Headache, Dizziness",11,75,39,97,89,130,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O-,8
Ulcerative colitis,Ibuprofen,"Nausea, Headache, Dizziness",11,82,42,79,99,146,Moderate,Yes,None,None,B-,8
Ulcerative colitis,Amoxicillin,"Nausea, Headache, Dizziness",14,63,45,102,85,153,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",O-,10
Influenza,Zanamivir,"Nausea, Headache, Dizziness",14,83,28,74,98,121,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",O+,6
Tuberculosis,Amoxicillin,"Nausea, Headache, Dizziness",4,70,44,84,88,131,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",B-,8
Osteoarthritis,Ibuprofen,"Nausea, Headache, Dizziness",1,55,32,69,99,155,Moderate,No,None,None,O+,10
COVID-19,Paracetamol,"Nausea, Headache, Dizziness",9,83,27,97,94,131,Low,Yes,"Penicillin,Dust,None",None,AB-,8
Cholera,Ibuprofen,"Nausea, Headache, Dizziness",7,63,27,81,95,164,Avoid,No,None,"None,Statins,Insulin,BP Meds",O+,8
Hepatitis B,Amoxicillin,"Nausea, Headache, Dizziness",9,70,37,83,89,148,Low,No,"Penicillin,Dust,None",None,AB-,7
Lung cancer,Amoxicillin,"Nausea, Headache, Dizziness",12,56,44,79,96,125,Moderate,Yes,"Penicillin,Dust,None",None,A-,7
Lymphoma,Paracetamol,"Nausea, Headache, Dizziness",11,61,43,94,93,143,Avoid,No,"Penicillin,Dust,None",None,O-,8
Vitamin D deficiency,Ibuprofen,"Nausea, Headache, Dizziness",15,52,45,68,98,158,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,7
Vitamin B12 deficiency,Ibuprofen,"Nausea, Headache, Dizziness",9,56,30,83,84,147,Moderate,No,None,"None,Statins,Insulin,BP Meds",O+,7
Syphilis,Paracetamol,"Nausea, Headache, Dizziness",9,67,30,88,84,140,Avoid,Yes,None,None,A+,6
Osteoporosis,Amoxicillin,"Nausea, Headache, Dizziness",5,76,35,83,88,152,Low,Yes,"Penicillin,Dust,None",None,A+,7
Mumps,Amoxicillin,"Nausea, Headache, Dizziness",12,66,28,102,86,133,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O+,8
Gout,Ibuprofen,"Nausea, Headache, Dizziness",5,64,40,99,95,136,Avoid,Yes,None,None,B+,7
Leukemia,Paracetamol,"Nausea, Headache, Dizziness",1,71,39,104,86,130,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",A-,7
Migraine,Ibuprofen,"Nausea, Headache, Dizziness",6,84,25,82,99,160,Avoid,Yes,"Penicillin,Dust,None",None,AB-,8
Rabies,Paracetamol,"Nausea, Headache, Dizziness",13,57,41,78,82,143,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",B-,8
Chikungunya,Paracetamol,"Nausea, Headache, Dizziness",1,81,36,109,80,170,Moderate,Yes,Food Allergy,None,B-,9
Hepatitis B,Amoxicillin,"Nausea, Headache, Dizziness",15,65,30,102,99,161,Avoid,Yes,"Penicillin,Dust,None",None,A-,8
Chickenpox,Amoxicillin,"Nausea, Headache, Dizziness",6,75,44,98,89,120,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,7
Dengue,ORS,"Nausea, Headache, Dizziness",11,57,42,78,88,139,Low,Yes,"Penicillin,Dust,None",None,B-,7
Anxiety disorder,Diazepam,"Nausea, Headache, Dizziness",7,58,34,108,80,134,Low,Yes,None,"None,Statins,Insulin,BP Meds",AB-,9
PCOS,Amoxicillin,"Nausea, Headache, Dizziness",9,63,39,64,100,151,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",B-,6
Endometriosis,Paracetamol,"Nausea, Headache, Dizziness",14,57,41,82,81,128,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",O-,8
Breast cancer,Paclitaxel,"Nausea, Headache, Dizziness",9,77,27,79,89,167,Avoid,Yes,"Penicillin,Dust,None",None,O+,7
PCOS,Paracetamol,"Nausea, Headache, Dizziness",3,55,29,106,90,164,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",AB+,10
Hepatitis C,Ibuprofen,"Nausea, Headache, Dizziness",7,65,27,104,94,155,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",A+,7
Depression,Fluoxetine,"Nausea, Headache, Dizziness",12,68,42,73,80,168,Avoid,Yes,None,None,A-,10
Anxiety disorder,Buspirone,"Nausea, Headache, Dizziness",13,76,43,92,98,162,Avoid,No,None,"None,Statins,Insulin,BP Meds",AB-,6
Asthma,Montelukast,"Nausea, Headache, Dizziness",15,83,44,92,98,124,Low,Yes,"Penicillin,Dust,None",None,B+,8
Vitamin D deficiency,Ibuprofen,"Nausea, Headache, Dizziness",1,63,39,70,91,125,Low,Yes,None,"None,Statins,Insulin,BP Meds",A-,6
Endometriosis,Amoxicillin,"Nausea, Headache, Dizziness",7,60,27,91,86,147,Low,Yes,"Penicillin,Dust,None",None,AB-,10
Anxiety disorder,Alprazolam,"Nausea, Headache, Dizziness",13,64,31,104,87,146,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B-,8
Chickenpox,Ibuprofen,"Nausea, Headache, Dizziness",2,73,42,91,81,124,Avoid,No,None,"None,Statins,Insulin,BP Meds",B+,6
Coronary artery disease,Ibuprofen,"Nausea, Headache, Dizziness",8,80,27,89,84,142,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",A-,9
Anxiety disorder,Alprazolam,"Nausea, Headache, Dizziness",2,71,31,90,97,156,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B-,6
Rabies,Ibuprofen,"Nausea, Headache, Dizziness",11,83,38,69,84,130,Avoid,No,"Penicillin,Dust,None",None,A-,9
Hepatitis C,Paracetamol,"Nausea, Headache, Dizziness",7,69,39,68,83,122,Low,No,"Penicillin,Dust,None",None,AB-,10
Gonorrhea,Paracetamol,"Nausea, Headache, Dizziness",12,50,36,100,86,128,Low,No,None,"None,Statins,Insulin,BP Meds",B-,7
Pneumonia,Amoxicillin,"Nausea, Headache, Dizziness",15,69,25,85,88,158,Moderate,No,Food Allergy,None,AB-,8
Parkinson’s disease,Paracetamol,"Nausea, Headache, Dizziness",6,55,35,90,90,137,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,10
Dengue fever,Paracetamol,"Nausea, Headache, Dizziness",4,72,44,87,86,159,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",B-,9
Dengue,ORS,"Nausea, Headache, Dizziness",3,60,25,94,82,132,Low,Yes,"Penicillin,Dust,None",None,A+,9
Syphilis,Ibuprofen,"Nausea, Headache, Dizziness",10,70,40,104,94,133,Moderate,Yes,None,None,AB-,9
Endometriosis,Ibuprofen,"Nausea, Headache, Dizziness",11,79,33,104,97,166,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",A-,8
Epilepsy,Ibuprofen,"Nausea, Headache, Dizziness",9,76,29,69,85,142,Avoid,Yes,None,None,AB-,7
Gonorrhea,Amoxicillin,"Nausea, Headache, Dizziness",8,78,37,95,97,157,Low,No,None,"None,Statins,Insulin,BP Meds",AB-,6
Depression,Escitalopram,"Nausea, Headache, Dizziness",6,50,33,93,92,156,Avoid,No,Food Allergy,None,O+,8
Crohn’s disease,Ibuprofen,"Nausea, Headache, Dizziness",9,70,43,99,95,167,Low,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B+,7
Endometriosis,Paracetamol,"Nausea, Headache, Dizziness",14,58,33,99,89,156,Low,No,None,None,O-,7
Typhoid,Azithromycin,"Nausea, Headache, Dizziness",15,80,44,70,97,160,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",O+,6
Chronic kidney disease,Amoxicillin,"Nausea, Headache, Dizziness",8,75,28,75,97,140,Avoid,No,"Penicillin,Dust,None",None,A+,10
Stroke,Paracetamol,"Nausea, Headache, Dizziness",12,71,41,97,86,147,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",O+,8
Colon cancer,Amoxicillin,"Nausea, Headache, Dizziness",13,75,28,99,97,168,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,9
Asthma,Budesonide,"Nausea, Headache, Dizziness",9,78,31,63,83,159,Low,No,None,None,O+,6
Dengue fever,Paracetamol,"Nausea, Headache, Dizziness",1,78,44,80,93,121,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B-,9
Syphilis,Ibuprofen,"Nausea, Headache, Dizziness",13,71,44,60,94,140,Low,No,None,"None,Statins,Insulin,BP Meds",B-,8
Common Cold,Paracetamol,"Nausea, Headache, Dizziness",12,67,39,65,80,135,Moderate,No,None,"None,Statins,Insulin,BP Meds",B+,10
Depression,Fluoxetine,"Nausea, Headache, Dizziness",13,82,33,106,80,131,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B+,6
Syphilis,Amoxicillin,"Nausea, Headache, Dizziness",1,76,30,85,86,150,Avoid,Yes,"Penicillin,Dust,None",None,AB-,9
Parkinson’s disease,Paracetamol,"Nausea, Headache, Dizziness",3,54,34,108,83,161,Low,Yes,None,"None,Statins,Insulin,BP Meds",AB-,6
Anemia,Vitamin B12,"Nausea, Headache, Dizziness",7,57,44,74,98,159,Moderate,Yes,Food Allergy,None,AB-,6
PCOS,Amoxicillin,"Nausea, Headache, Dizziness",4,62,31,97,99,169,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",B+,10
Leukemia,Paracetamol,"Nausea, Headache, Dizziness",11,68,33,77,95,157,Low,No,"Penicillin,Dust,None",None,O-,10
Anxiety disorder,Diazepam,"Nausea, Headache, Dizziness",7,58,34,108,80,134,Low,Yes,None,"None,Statins,Insulin,BP Meds",AB-,9
Cholera,Amoxicillin,"Nausea, Headache, Dizziness",4,69,35,102,87,123,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B-,6
Breast cancer,Paclitaxel,"Nausea, Headache, Dizziness",12,61,32,63,89,140,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",O-,10
Cirrhosis,Paracetamol,"Nausea, Headache, Dizziness",4,68,38,86,92,136,Low,No,Food Allergy,None,O+,10
Ulcerative colitis,Paracetamol,"Nausea, Headache, Dizziness",1,85,41,87,98,130,Moderate,No,Food Allergy,None,B-,7
Gout,Ibuprofen,"Nausea, Headache, Dizziness",7,80,25,63,82,125,Low,No,None,"None,Statins,Insulin,BP Meds",O+,10
Osteoporosis,Ibuprofen,"Nausea, Headache, Dizziness",13,58,25,65,81,150,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",O+,10
Tuberculosis,Ibuprofen,"Nausea, Headache, Dizziness",14,71,35,84,85,168,Moderate,Yes,"Penicillin,Dust,None",None,AB-,10
Heart attack,Aspirin,"Nausea, Headache, Dizziness",7,76,34,67,93,160,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",B+,7
Hyperthyroidism,Methimazole,"Nausea, Headache, Dizziness",4,61,28,96,88,167,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,6
Mumps,Ibuprofen,"Nausea, Headache, Dizziness",2,57,40,92,100,164,Low,No,Food Allergy,None,A+,7
Anxiety disorder,Alprazolam,"Nausea, Headache, Dizziness",9,80,28,79,99,124,Moderate,No,None,None,O+,9
UTI,Ciprofloxacin,"Nausea, Headache, Dizziness",15,79,44,63,98,140,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O-,7
Prostate cancer,Ibuprofen,"Nausea, Headache, Dizziness",11,80,35,68,91,137,Moderate,No,Food Allergy,None,O-,9
PCOS,Ibuprofen,"Nausea, Headache, Dizziness",10,56,39,107,81,122,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,8
Vitamin D deficiency,Ibuprofen,"Nausea, Headache, Dizziness",5,73,27,93,82,152,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,9
Chickenpox,Amoxicillin,"Nausea, Headache, Dizziness",7,75,42,64,95,155,Avoid,Yes,Food Allergy,None,AB-,7
Depression,Escitalopram,"Nausea, Headache, Dizziness",7,66,40,107,96,150,Low,Yes,None,None,O+,9
COVID-19,Remdesivir,"Nausea, Headache, Dizziness",3,66,41,100,96,155,Low,Yes,Food Allergy,None,AB-,6
Typhoid,Azithromycin,"Nausea, Headache, Dizziness",7,71,27,62,94,120,Moderate,No,None,"None,Statins,Insulin,BP Meds",A-,9
Cholera,Amoxicillin,"Nausea, Headache, Dizziness",14,74,33,78,95,139,Moderate,No,"Penicillin,Dust,None",None,B-,10
Vitamin B12 deficiency,Amoxicillin,"Nausea, Headache, Dizziness",1,57,43,73,86,169,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,10
Zika virus,Amoxicillin,"Nausea, Headache, Dizziness",11,55,41,103,94,149,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B+,7
COVID-19,Dexamethasone,"Nausea, Headache, Dizziness",9,69,40,60,97,135,Avoid,No,"Penicillin,Dust,None",None,A-,7
PCOS,Amoxicillin,"Nausea, Headache, Dizziness",6,64,38,88,84,133,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",O+,6
Dengue,Paracetamol,"Nausea, Headache, Dizziness",15,84,27,82,97,160,Low,Yes,Food Allergy,None,A+,6
Malaria,Artemether,"Nausea, Headache, Dizziness",8,57,29,93,81,141,Avoid,Yes,"Penicillin,Dust,None",None,AB+,10
Cholera,Paracetamol,"Nausea, Headache, Dizziness",13,71,39,63,98,127,Avoid,No,None,"None,Statins,Insulin,BP Meds",B-,6
Depression,Fluoxetine,"Nausea, Headache, Dizziness",9,64,40,108,91,145,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O+,10
Lymphoma,Amoxicillin,"Nausea, Headache, Dizziness",9,54,38,85,87,165,Moderate,Yes,Food Allergy,None,A+,6
Breast cancer,Doxorubicin,"Nausea, Headache, Dizziness",5,50,27,102,83,145,Low,Yes,None,None,O+,10
Cirrhosis,Amoxicillin,"Nausea, Headache, Dizziness",7,65,25,79,99,155,Low,Yes,"Penicillin,Dust,None",None,A-,6
Malnutrition,Paracetamol,"Nausea, Headache, Dizziness",2,56,26,103,97,165,Moderate,No,"Penicillin,Dust,None",None,O-,8
Ulcerative colitis,Amoxicillin,"Nausea, Headache, Dizziness",3,60,45,88,100,158,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B+,7
Chikungunya,Paracetamol,"Nausea, Headache, Dizziness",15,50,44,94,98,125,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB+,6
Malnutrition,Ibuprofen,"Nausea, Headache, Dizziness",5,59,31,105,87,124,Low,No,None,None,AB+,7
Vitamin D deficiency,Ibuprofen,"Nausea, Headache, Dizziness",4,82,44,72,85,145,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O+,9
Osteoporosis,Paracetamol,"Nausea, Headache, Dizziness",6,68,40,95,80,124,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,7
Mumps,Amoxicillin,"Nausea, Headache, Dizziness",3,50,43,102,85,150,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",O+,10
Leukemia,Ibuprofen,"Nausea, Headache, Dizziness",12,72,30,95,86,128,Low,Yes,Food Allergy,None,O-,6
Pneumonia,Amoxicillin,"Nausea, Headache, Dizziness",9,69,43,104,99,127,Low,No,None,"None,Statins,Insulin,BP Meds",AB+,8
Migraine,Paracetamol,"Nausea, Headache, Dizziness",11,50,41,66,95,124,Moderate,No,None,"None,Statins,Insulin,BP Meds",B+,6
Dengue fever,Ibuprofen,"Nausea, Headache, Dizziness",1,67,25,65,86,125,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A+,10
Prostate cancer,Amoxicillin,"Nausea, Headache, Dizziness",12,59,30,70,97,135,Low,No,None,"None,Statins,Insulin,BP Meds",O-,6
Tuberculosis,Amoxicillin,"Nausea, Headache, Dizziness",1,70,27,72,91,151,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,7
Hypertension,Amlodipine,"Nausea, Headache, Dizziness",8,73,32,106,82,134,Avoid,No,None,None,A-,6
Prostate cancer,Amoxicillin,"Nausea, Headache, Dizziness",15,59,41,91,82,148,Moderate,Yes,None,None,AB-,10
Rheumatoid arthritis,Paracetamol,"Nausea, Headache, Dizziness",15,81,36,69,91,131,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",O-,9
Bronchitis,Amoxicillin,"Nausea, Headache, Dizziness",14,53,25,67,96,131,Low,Yes,Food Allergy,None,O+,8
Epilepsy,Paracetamol,"Nausea, Headache, Dizziness",13,55,32,91,100,124,Low,No,"Penicillin,Dust,None",None,O-,8
Acne,Paracetamol,"Nausea, Headache, Dizziness",8,57,34,62,85,140,Moderate,Yes,None,None,O-,7
Parkinson’s disease,Amoxicillin,"Nausea, Headache, Dizziness",8,85,45,92,84,150,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB+,10
Breast cancer,Paclitaxel,"Nausea, Headache, Dizziness",13,76,26,92,83,165,Moderate,No,None,"None,Statins,Insulin,BP Meds",AB+,6
Crohn’s disease,Paracetamol,"Nausea, Headache, Dizziness",13,56,28,71,90,130,Moderate,No,"Penicillin,Dust,None",None,A-,9
Migraine,Paracetamol,"Nausea, Headache, Dizziness",2,78,26,105,94,141,Low,No,None,"None,Statins,Insulin,BP Meds",B-,9
Rabies,Paracetamol,"Nausea, Headache, Dizziness",9,63,30,95,94,132,Low,Yes,None,None,O-,7
Typhoid,Cefixime,"Nausea, Headache, Dizziness",2,79,33,92,96,139,Moderate,Yes,Food Allergy,None,AB-,9
Acne,Ibuprofen,"Nausea, Headache, Dizziness",9,73,36,76,86,149,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB+,8
Crohn’s disease,Ibuprofen,"Nausea, Headache, Dizziness",8,71,33,94,90,127,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O+,7
Measles,Ibuprofen,"Nausea, Headache, Dizziness",12,85,32,63,97,139,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A+,6
