Disease,Medicine,Side_Effects,Min_Age,Max_Age,Min_Weight_kg,Max_Weight_kg,Min_BP_mmHg,Max_BP_mmHg,Alcohol_Consumption,Pregnant,Allergies,Current_Medications,Blood_Group,Effectiveness_1_10
PCOS,Metformin,Sleepiness,9,73,47,82,92,148,Occasional,Yes,Penicillin,Vitamin D,AB-,8
Flu,Ibuprofen,Sleepiness,10,79,32,82,80,135,No,Yes,Pollen,Vitamin D,A-,8
Flu,Oseltamivir,Dry Mouth,7,80,49,77,98,145,Yes,Not Applicable,Penicillin,None,B-,9
Heart Disease,Clopidogrel,Sleepiness,6,79,40,65,83,133,Yes,Not Applicable,Pollen,Iron Supplement,O+,9
Arthritis,Diclofenac,Dizziness,16,52,45,97,99,145,Occasional,Yes,Peanuts,Iron Supplement,AB+,10
Thyroid Disorder,Carbimazole,Diarrhea,18,72,33,114,90,154,Yes,Not Applicable,Peanuts,None,O+,5
Anxiety,Buspirone,Headache,12,52,38,85,90,162,Yes,No,Penicillin,Vitamin D,B-,6
Allergy,Fexofenadine,Vomiting,16,90,46,74,82,129,Occasional,Yes,Sulfa,Multivitamin,AB-,7
Depression,Fluoxetine,Constipation,14,90,50,76,87,125,Occasional,No,Peanuts,Multivitamin,A+,4
PCOS,Metformin,Dizziness,12,86,39,79,81,136,Occasional,Yes,Dust,Vitamin D,B+,4
Migraine,Topiramate,Headache,18,59,33,84,85,150,No,Not Applicable,None,Iron Supplement,B+,8
Obesity,Liraglutide,Sleepiness,17,86,45,94,99,153,Yes,Yes,Peanuts,None,B-,10
Liver Disease,Ursodeoxycholic Acid,Vomiting,8,70,47,78,82,127,Occasional,No,Peanuts,None,A-,8
PCOS,Metformin,Dry Mouth,1,85,37,72,89,148,Occasional,Yes,None,Multivitamin,A+,8
Kidney Disease,Furosemide,Sleepiness,1,59,40,72,91,177,No,Not Applicable,Sulfa,None,AB+,9
Typhoid,Ciprofloxacin,Diarrhea,15,84,35,120,95,157,Yes,Yes,Dust,Calcium,O+,10
Typhoid,Cefixime,Dizziness,13,59,33,81,82,146,Yes,Not Applicable,Penicillin,Vitamin D,AB+,9
Arthritis,Diclofenac,Rash,8,90,30,112,88,163,No,Yes,Dust,Iron Supplement,AB+,5
Obesity,Orlistat,Nausea,12,89,44,87,82,150,No,Yes,Sulfa,Multivitamin,AB-,7
Arthritis,Methotrexate,Dry Mouth,7,41,45,61,97,180,No,No,Dust,Iron Supplement,B-,7
Malaria,Artemether,Nausea,16,58,43,71,87,141,Occasional,No,Sulfa,Vitamin D,B-,7
Cancer,Cisplatin,Dry Mouth,13,74,34,98,99,178,No,Not Applicable,None,Calcium,A+,5
Flu,Ibuprofen,Headache,4,83,35,96,81,131,Occasional,No,Penicillin,Calcium,AB-,6
Arthritis,Diclofenac,Constipation,12,47,36,92,87,147,No,Not Applicable,Pollen,Vitamin D,A+,5
Depression,Sertraline,Rash,6,68,49,75,88,172,Yes,Not Applicable,Pollen,None,O-,4
Liver Disease,Ursodeoxycholic Acid,Rash,4,84,41,91,95,125,Occasional,Not Applicable,Peanuts,Multivitamin,AB-,7
Allergy,Loratadine,Dry Mouth,14,62,32,73,100,143,No,Not Applicable,Dust,Multivitamin,B-,6
Liver Disease,Rifaximin,Vomiting,11,90,30,101,100,130,Yes,Not Applicable,Dust,Vitamin D,AB-,10
Arthritis,Methotrexate,Dry Mouth,15,82,48,75,82,140,Yes,Yes,Peanuts,Calcium,O-,9
Malaria,Chloroquine,Sleepiness,8,90,49,77,91,149,No,No,Peanuts,Iron Supplement,AB+,4
Tuberculosis,Rifampicin,Nausea,5,49,34,69,93,158,No,No,Peanuts,Iron Supplement,AB+,7
Migraine,Topiramate,Sleepiness,3,78,45,102,93,154,No,Yes,Penicillin,Calcium,A+,10
Flu,Ibuprofen,Vomiting,10,42,32,86,90,164,Occasional,Yes,Dust,Calcium,A+,9
Obesity,Phentermine,Nausea,4,52,41,103,81,168,Occasional,Not Applicable,Pollen,Vitamin D,O-,6
Liver Disease,Rifaximin,Fatigue,4,65,49,67,99,159,Occasional,Yes,Peanuts,Calcium,O-,9
Tuberculosis,Isoniazid,Rash,16,71,31,76,87,133,No,Not Applicable,Sulfa,Vitamin D,O+,9
COVID-19,Favipiravir,Headache,13,77,34,81,87,168,Occasional,No,Peanuts,Multivitamin,B-,9
Tuberculosis,Ethambutol,Constipation,9,76,38,94,84,157,No,No,None,Calcium,B+,8
PCOS,Clomiphene,Vomiting,5,43,39,61,91,159,No,Yes,Dust,None,AB+,10
Kidney Disease,Calcitriol,Nausea,1,59,48,108,81,129,Occasional,Yes,Dust,None,AB+,5
Migraine,Topiramate,Dry Mouth,13,49,37,102,94,160,Occasional,No,Dust,Iron Supplement,B+,9
Typhoid,Ciprofloxacin,Constipation,10,43,36,75,99,147,Yes,Not Applicable,Peanuts,Calcium,B+,10
Malaria,Artemether,Dry Mouth,4,59,36,86,90,130,Occasional,Yes,None,Multivitamin,O+,10
Tuberculosis,Ethambutol,Rash,4,61,50,77,87,148,Occasional,Yes,Penicillin,Multivitamin,A-,5
Allergy,Cetirizine,Sleepiness,15,82,40,114,93,165,No,No,Peanuts,Calcium,O-,8
Diabetes,Metformin,Fatigue,8,60,41,87,93,165,Occasional,Yes,Sulfa,Vitamin D,AB+,7
Malaria,Artemether,Dizziness,18,82,35,110,93,180,Yes,Yes,Sulfa,Vitamin D,B+,10
Thyroid Disorder,Carbimazole,Dizziness,17,73,43,60,90,155,Occasional,No,Sulfa,Iron Supplement,B-,4
Asthma,Budesonide,Dizziness,7,79,48,92,82,132,No,Not Applicable,Sulfa,Iron Supplement,O-,8
Asthma,Budesonide,Fatigue,5,72,39,72,91,172,No,Not Applicable,None,Calcium,B+,9
Thyroid Disorder,Levothyroxine,Sleepiness,2,57,34,68,90,144,Yes,Not Applicable,Penicillin,None,B+,4
Hypertension,Amlodipine,Fatigue,14,82,31,98,97,123,No,Not Applicable,Penicillin,Vitamin D,A+,5
Obesity,Orlistat,Dizziness,3,67,36,113,99,138,Yes,Not Applicable,Sulfa,Multivitamin,AB+,7
Anxiety,Clonazepam,Dizziness,2,68,49,70,92,128,No,Yes,None,Iron Supplement,A-,5
Migraine,Sumatriptan,Vomiting,11,72,30,118,92,173,Occasional,No,None,Iron Supplement,B+,8
Hypertension,Atenolol,Fatigue,11,61,42,118,82,141,No,No,Pollen,Calcium,B+,8
Allergy,Cetirizine,Vomiting,7,45,30,85,97,147,No,No,Sulfa,Calcium,A-,10
Heart Disease,Atorvastatin,Dizziness,7,89,40,92,82,177,Yes,Yes,Peanuts,Multivitamin,O+,10
Migraine,Topiramate,Dizziness,9,86,31,73,89,151,Yes,Not Applicable,Penicillin,Multivitamin,B-,9
PCOS,Letrozole,Vomiting,5,75,39,101,81,166,Yes,No,Sulfa,None,O-,4
Thyroid Disorder,Propylthiouracil,Nausea,12,61,48,89,83,151,No,No,Peanuts,Multivitamin,B-,5
Kidney Disease,Furosemide,Headache,10,64,45,113,95,144,Occasional,No,Pollen,Calcium,O-,7
Depression,Escitalopram,Sleepiness,15,79,33,71,96,176,Occasional,No,Penicillin,Multivitamin,O-,7
Cancer,Cisplatin,Constipation,14,49,33,60,84,132,Occasional,No,None,None,A-,5
Depression,Fluoxetine,Sleepiness,13,70,32,72,87,143,No,Yes,Dust,Multivitamin,A+,6
Migraine,Topiramate,Dizziness,13,50,35,98,90,128,No,Yes,None,None,AB+,10
Liver Disease,Rifaximin,Rash,12,51,33,63,89,160,Occasional,No,Sulfa,Calcium,AB+,5
Obesity,Orlistat,Diarrhea,14,82,42,60,96,178,Occasional,Not Applicable,Dust,Calcium,O-,8
Anxiety,Buspirone,Dry Mouth,1,64,35,99,91,164,No,Not Applicable,Penicillin,Iron Supplement,O+,5
Liver Disease,Ursodeoxycholic Acid,Fatigue,5,83,46,75,99,167,Yes,Not Applicable,Pollen,Vitamin D,A+,4
Kidney Disease,Erythropoietin,Fatigue,16,73,50,108,88,138,Occasional,Yes,Pollen,Vitamin D,O-,5
Liver Disease,Rifaximin,Vomiting,13,84,38,60,82,157,No,No,None,None,O+,9
Diabetes,Metformin,Dry Mouth,1,74,30,76,83,160,No,Yes,Dust,Calcium,B-,4
Obesity,Phentermine,Diarrhea,16,87,35,108,88,155,No,No,Dust,Calcium,O+,5
Obesity,Orlistat,Vomiting,3,74,48,118,97,142,Yes,No,Pollen,Vitamin D,A-,8
Flu,Oseltamivir,Nausea,11,49,50,61,82,153,Occasional,Yes,None,Vitamin D,AB+,10
Typhoid,Ciprofloxacin,Dizziness,6,47,34,96,80,171,No,No,Dust,None,AB-,7
Malaria,Primaquine,Rash,5,59,33,101,82,129,No,Not Applicable,None,None,A+,4
Anxiety,Buspirone,Dry Mouth,10,45,41,61,92,172,No,No,Penicillin,Multivitamin,A-,6
Liver Disease,Lactulose,Constipation,18,56,43,100,87,169,Occasional,Yes,Sulfa,Vitamin D,O+,7
Depression,Escitalopram,Fatigue,4,71,33,77,98,179,Occasional,Not Applicable,Dust,Multivitamin,A-,9
COVID-19,Paracetamol,Dizziness,2,77,44,100,90,134,Yes,Yes,Pollen,Vitamin D,B+,4
Kidney Disease,Furosemide,Diarrhea,2,82,45,103,81,123,Occasional,No,Pollen,Iron Supplement,AB+,7
Cancer,Imatinib,Constipation,11,56,34,78,83,155,Occasional,Not Applicable,Sulfa,Calcium,A+,4
Depression,Sertraline,Rash,3,58,38,112,100,155,Yes,Yes,Sulfa,Multivitamin,O-,10
Asthma,Salbutamol,Diarrhea,3,69,39,85,83,139,Occasional,Yes,Penicillin,Iron Supplement,AB+,10
PCOS,Clomiphene,Dry Mouth,5,59,41,70,95,132,Yes,Not Applicable,Sulfa,Multivitamin,O+,8
Arthritis,Methotrexate,Dizziness,8,79,36,75,99,164,Occasional,Yes,Dust,Calcium,AB+,6
Obesity,Liraglutide,Dizziness,15,81,32,117,84,124,Occasional,Not Applicable,Dust,None,B+,5
Asthma,Salbutamol,Diarrhea,10,44,50,67,96,159,No,No,Peanuts,Multivitamin,A+,7
Asthma,Montelukast,Constipation,3,40,40,99,84,157,Occasional,Not Applicable,Dust,Calcium,AB-,8
Anxiety,Buspirone,Sleepiness,16,63,37,105,87,127,Yes,No,Peanuts,None,O+,7
Kidney Disease,Furosemide,Nausea,2,82,48,100,85,148,Occasional,Not Applicable,Peanuts,Iron Supplement,O+,10
Kidney Disease,Calcitriol,Diarrhea,3,53,38,99,85,173,Yes,Yes,Peanuts,None,A+,7
Obesity,Phentermine,Nausea,10,61,33,110,90,148,No,No,Peanuts,Iron Supplement,AB-,9
Depression,Sertraline,Fatigue,15,44,46,105,84,158,Yes,Not Applicable,Pollen,Multivitamin,O-,4
Allergy,Loratadine,Dry Mouth,5,47,30,98,98,170,Occasional,Not Applicable,Pollen,Vitamin D,A+,9
Asthma,Budesonide,Diarrhea,3,74,42,103,96,134,No,Not Applicable,Penicillin,Vitamin D,AB+,8
Obesity,Phentermine,Diarrhea,1,51,32,60,94,153,No,Yes,Sulfa,Vitamin D,AB+,4
Heart Disease,Aspirin,Dry Mouth,6,78,40,69,80,131,No,Not Applicable,Peanuts,Multivitamin,AB+,9
Asthma,Salbutamol,Diarrhea,17,89,45,79,99,152,Occasional,No,Sulfa,None,AB+,6
Liver Disease,Lactulose,Diarrhea,2,43,49,105,97,161,No,Not Applicable,Penicillin,Iron Supplement,O-,8
Migraine,Sumatriptan,Vomiting,18,75,43,88,94,168,No,No,Penicillin,None,AB-,7
Anxiety,Buspirone,Constipation,16,53,44,103,97,133,Yes,Yes,Sulfa,Vitamin D,A-,6
Typhoid,Cefixime,Rash,4,62,44,69,88,154,No,Yes,None,Vitamin D,AB-,9
COVID-19,Remdesivir,Dry Mouth,3,83,30,77,98,138,Occasional,Not Applicable,Pollen,None,O-,10
Kidney Disease,Calcitriol,Dizziness,11,85,38,71,98,122,No,No,Penicillin,Iron Supplement,A-,6
Diabetes,Metformin,Headache,11,77,49,101,99,155,Occasional,Yes,Peanuts,None,O+,6
COVID-19,Paracetamol,Headache,2,72,38,116,94,122,No,No,Penicillin,Multivitamin,O-,8
Heart Disease,Clopidogrel,Rash,3,77,35,77,83,134,Occasional,Not Applicable,Pollen,None,B-,5
Cancer,Imatinib,Fatigue,6,78,41,110,80,169,Yes,Not Applicable,Peanuts,Multivitamin,B-,7
Obesity,Phentermine,Headache,7,81,41,69,87,158,Occasional,No,Penicillin,Vitamin D,AB-,5
COVID-19,Favipiravir,Headache,10,48,32,114,85,129,Yes,Yes,Peanuts,None,AB+,4
Heart Disease,Atorvastatin,Dry Mouth,7,66,37,101,95,172,Yes,Yes,Dust,Vitamin D,B+,7
Heart Disease,Atorvastatin,Headache,15,88,36,77,99,122,Occasional,Yes,Dust,Iron Supplement,A+,8
Asthma,Salbutamol,Constipation,13,40,38,91,83,128,Yes,Yes,None,Multivitamin,O+,6
Typhoid,Azithromycin,Rash,2,82,30,65,94,180,Occasional,No,Dust,Calcium,AB+,7
Typhoid,Ciprofloxacin,Dizziness,2,68,44,87,86,153,No,Yes,Dust,Calcium,O+,5
Flu,Ibuprofen,Headache,9,79,36,74,87,139,No,No,Penicillin,Calcium,B+,8
PCOS,Letrozole,Dry Mouth,4,64,33,98,92,149,Yes,Not Applicable,None,Multivitamin,A+,5
Cancer,Paclitaxel,Dry Mouth,2,87,49,118,88,160,No,Not Applicable,Peanuts,Vitamin D,B-,9
Malaria,Chloroquine,Fatigue,2,57,33,73,95,175,Yes,Not Applicable,Sulfa,Iron Supplement,AB-,10
Depression,Sertraline,Fatigue,3,67,47,86,82,143,Occasional,No,Sulfa,Vitamin D,AB-,9
Obesity,Phentermine,Sleepiness,16,88,35,95,81,158,Occasional,Yes,Pollen,Multivitamin,O+,4
Hypertension,Atenolol,Constipation,9,57,31,65,81,143,Occasional,Not Applicable,Sulfa,Calcium,O+,10
Heart Disease,Clopidogrel,Diarrhea,18,40,39,80,83,163,No,Not Applicable,Penicillin,Multivitamin,AB-,7
Migraine,Topiramate,Fatigue,17,43,32,108,87,135,No,Yes,None,Multivitamin,B+,6
Allergy,Cetirizine,Dizziness,1,78,43,81,83,158,No,No,Dust,Iron Supplement,AB+,10
Heart Disease,Clopidogrel,Dizziness,7,74,43,65,91,150,Yes,Not Applicable,Penicillin,None,A-,4
Asthma,Montelukast,Nausea,9,65,48,71,82,150,Occasional,Not Applicable,None,Multivitamin,A+,6
Asthma,Salbutamol,Rash,17,66,35,91,81,153,Yes,No,Penicillin,Vitamin D,A-,4
Thyroid Disorder,Carbimazole,Dizziness,14,82,50,83,91,144,Occasional,No,None,None,A+,5
Asthma,Salbutamol,Rash,11,46,39,102,91,131,No,Not Applicable,Penicillin,Calcium,A+,9
Asthma,Budesonide,Rash,9,59,33,101,100,125,Occasional,Not Applicable,Penicillin,Vitamin D,A+,10
Heart Disease,Clopidogrel,Constipation,3,66,44,88,98,154,Occasional,Yes,Penicillin,None,A+,9
Depression,Sertraline,Sleepiness,15,56,44,81,85,142,Occasional,Not Applicable,None,None,A+,4
Asthma,Montelukast,Diarrhea,4,60,45,81,81,143,No,Not Applicable,Peanuts,Calcium,B+,8
Tuberculosis,Ethambutol,Headache,12,89,34,111,94,148,No,Yes,Sulfa,Vitamin D,AB-,8
Liver Disease,Lactulose,Headache,5,40,31,94,86,173,No,Yes,None,Calcium,AB+,4
PCOS,Letrozole,Dizziness,9,62,35,114,88,132,Yes,Yes,Penicillin,Vitamin D,O-,9
Allergy,Cetirizine,Fatigue,14,87,35,93,98,140,Occasional,Not Applicable,Dust,Calcium,A-,4
Malaria,Artemether,Vomiting,4,70,30,78,92,151,Yes,No,Dust,Iron Supplement,B-,4
Asthma,Budesonide,Sleepiness,17,63,33,119,89,180,Yes,Yes,Dust,Vitamin D,B-,10
Migraine,Sumatriptan,Dizziness,6,49,31,91,89,133,Occasional,Yes,Dust,Calcium,AB+,7
COVID-19,Paracetamol,Headache,3,77,33,81,84,128,Occasional,No,None,Iron Supplement,A-,4
Asthma,Budesonide,Dry Mouth,15,71,35,115,81,168,No,Not Applicable,Sulfa,Calcium,O-,6
Allergy,Fexofenadine,Vomiting,9,42,45,111,84,140,Yes,Not Applicable,Peanuts,Calcium,AB+,7
Liver Disease,Lactulose,Rash,14,67,35,91,84,168,Occasional,Yes,Penicillin,Iron Supplement,O-,4
Diabetes,Insulin,Diarrhea,18,78,35,67,89,178,Yes,Not Applicable,Sulfa,Iron Supplement,O+,7
Liver Disease,Lactulose,Dizziness,6,73,49,106,83,122,No,Not Applicable,Penicillin,Vitamin D,A-,7
Thyroid Disorder,Levothyroxine,Constipation,13,82,42,65,88,122,Yes,No,Penicillin,Vitamin D,B-,7
Hypertension,Losartan,Sleepiness,3,89,49,66,80,121,No,No,Pollen,Vitamin D,O-,9
Depression,Fluoxetine,Headache,9,58,37,89,80,141,Yes,Yes,None,Iron Supplement,B-,5
Obesity,Liraglutide,Dry Mouth,15,87,30,91,99,151,Occasional,Yes,Pollen,Iron Supplement,A-,10
Thyroid Disorder,Levothyroxine,Headache,4,68,46,106,81,179,No,Yes,Peanuts,Calcium,A-,5
Diabetes,Insulin,Sleepiness,6,84,47,66,80,168,Occasional,Yes,Penicillin,Multivitamin,AB-,6
Anxiety,Buspirone,Vomiting,17,86,43,75,98,154,No,Yes,Dust,Iron Supplement,A+,5
Obesity,Phentermine,Sleepiness,13,83,37,112,84,152,Yes,Yes,Penicillin,Vitamin D,B-,10
Allergy,Fexofenadine,Nausea,10,64,37,99,89,166,No,Yes,Dust,Calcium,AB-,5
COVID-19,Remdesivir,Diarrhea,7,55,47,117,85,172,Occasional,Not Applicable,Sulfa,None,AB+,8
Diabetes,Glimepiride,Vomiting,14,68,31,84,92,163,No,No,Dust,Iron Supplement,O-,4
Flu,Ibuprofen,Sleepiness,10,44,31,80,94,179,No,Yes,Dust,Vitamin D,AB-,9
Hypertension,Amlodipine,Headache,16,90,44,74,81,120,Occasional,No,Dust,None,B+,5
Allergy,Fexofenadine,Rash,17,45,48,116,82,143,Yes,Yes,Peanuts,None,AB+,6
Depression,Sertraline,Vomiting,2,50,36,87,82,170,No,Yes,Penicillin,None,O-,8
Diabetes,Insulin,Dizziness,9,81,35,87,100,180,Occasional,Yes,Dust,Calcium,O+,9
Liver Disease,Lactulose,Headache,14,81,48,115,91,135,No,No,Dust,Multivitamin,B-,4
Liver Disease,Ursodeoxycholic Acid,Constipation,9,65,38,105,99,148,No,Not Applicable,None,None,AB-,4
COVID-19,Paracetamol,Headache,2,45,46,109,86,152,Yes,Not Applicable,Sulfa,Calcium,B+,10
Migraine,Propranolol,Vomiting,4,66,44,94,88,160,Yes,Yes,Penicillin,Iron Supplement,O-,9
Migraine,Propranolol,Sleepiness,13,82,47,75,92,180,Occasional,Not Applicable,Penicillin,Vitamin D,AB+,7
Arthritis,Methotrexate,Sleepiness,14,77,35,98,93,150,Occasional,No,None,Iron Supplement,A-,4
Flu,Ibuprofen,Sleepiness,18,45,35,104,95,136,No,Not Applicable,Peanuts,Vitamin D,AB-,9
Depression,Escitalopram,Fatigue,11,84,35,93,98,150,No,No,Dust,Calcium,A-,6
Cancer,Paclitaxel,Dry Mouth,5,66,45,67,81,121,Occasional,Yes,Dust,Iron Supplement,B+,4
Liver Disease,Rifaximin,Nausea,16,68,38,111,97,172,Yes,No,Sulfa,Vitamin D,O-,6
Hypertension,Amlodipine,Vomiting,14,76,35,83,82,166,Occasional,Not Applicable,Penicillin,Multivitamin,O+,6
Thyroid Disorder,Carbimazole,Diarrhea,13,44,48,97,84,137,Yes,No,Penicillin,Calcium,A+,5
Cancer,Cisplatin,Sleepiness,5,59,33,113,86,179,Occasional,No,Pollen,Vitamin D,B-,10
Obesity,Liraglutide,Fatigue,18,46,38,91,82,138,Yes,Yes,None,Iron Supplement,AB+,7
PCOS,Clomiphene,Vomiting,8,74,40,80,81,147,Occasional,Yes,None,Multivitamin,B+,9
Cancer,Imatinib,Headache,7,77,42,92,93,177,Occasional,Yes,None,Vitamin D,O+,4
Typhoid,Cefixime,Dry Mouth,1,87,40,62,100,129,No,Yes,Pollen,Vitamin D,AB-,7
Liver Disease,Rifaximin,Sleepiness,7,57,31,72,98,180,Occasional,Not Applicable,None,Vitamin D,O-,8
Hypertension,Amlodipine,Sleepiness,14,60,38,94,95,166,No,Yes,None,Multivitamin,B-,4
COVID-19,Paracetamol,Rash,2,68,38,91,88,152,No,No,Dust,Calcium,AB+,6
Kidney Disease,Calcitriol,Fatigue,2,73,31,71,91,163,Occasional,No,None,Multivitamin,O+,4
Migraine,Sumatriptan,Constipation,9,44,37,91,89,153,Occasional,No,Sulfa,Iron Supplement,B-,10
Liver Disease,Ursodeoxycholic Acid,Rash,17,67,37,72,80,179,Yes,Yes,Peanuts,Vitamin D,B+,8
Allergy,Loratadine,Diarrhea,13,88,32,83,95,174,Yes,Not Applicable,Peanuts,Vitamin D,B+,4
Heart Disease,Atorvastatin,Constipation,17,43,46,84,97,165,No,Not Applicable,None,Iron Supplement,O-,6
COVID-19,Remdesivir,Nausea,18,84,48,120,91,177,No,Not Applicable,Dust,None,A+,4
COVID-19,Paracetamol,Constipation,17,45,35,81,95,154,Occasional,Yes,Pollen,Multivitamin,O-,8
Malaria,Chloroquine,Constipation,3,41,45,97,95,134,Yes,No,Sulfa,Multivitamin,A+,10
Diabetes,Metformin,Dizziness,8,48,46,90,86,146,Yes,No,Penicillin,Iron Supplement,O+,7
Malaria,Artemether,Dizziness,11,80,49,100,91,144,Occasional,Not Applicable,Dust,Vitamin D,B-,5
Migraine,Topiramate,Vomiting,6,43,38,113,83,171,No,No,Pollen,Vitamin D,O+,8
Hypertension,Amlodipine,Diarrhea,3,85,48,67,92,175,Yes,Yes,Dust,Iron Supplement,O+,6
Thyroid Disorder,Levothyroxine,Headache,13,70,32,84,92,167,Occasional,Yes,Penicillin,None,A+,9
Typhoid,Ciprofloxacin,Vomiting,9,90,35,89,88,152,Occasional,Not Applicable,Sulfa,None,AB+,5
Migraine,Sumatriptan,Vomiting,17,71,38,69,100,177,No,Not Applicable,Sulfa,Multivitamin,O+,4
PCOS,Clomiphene,Diarrhea,12,75,34,99,82,172,Occasional,No,Dust,Iron Supplement,B+,7
Migraine,Propranolol,Nausea,6,79,31,109,99,151,No,Yes,Sulfa,Iron Supplement,B-,7
PCOS,Clomiphene,Sleepiness,11,40,45,112,90,176,Yes,Yes,None,Iron Supplement,O-,4
Tuberculosis,Rifampicin,Vomiting,1,45,44,105,88,177,Yes,Yes,Dust,Vitamin D,AB+,7
Arthritis,Diclofenac,Diarrhea,6,73,38,104,82,148,Occasional,Yes,Peanuts,Vitamin D,B-,7
Tuberculosis,Rifampicin,Fatigue,13,46,42,72,94,164,No,Yes,None,Iron Supplement,B-,4
Heart Disease,Clopidogrel,Diarrhea,13,65,45,66,96,139,Occasional,No,Penicillin,Iron Supplement,A+,10
Tuberculosis,Isoniazid,Sleepiness,11,49,31,102,88,138,No,Yes,Peanuts,Calcium,AB+,10
Diabetes,Glimepiride,Vomiting,7,77,44,95,96,140,Yes,No,Peanuts,None,A+,8
Allergy,Cetirizine,Constipation,14,45,50,69,94,162,Occasional,Yes,Pollen,Iron Supplement,B+,7
PCOS,Metformin,Fatigue,6,44,43,100,86,150,Occasional,No,Penicillin,Iron Supplement,O+,9
Obesity,Phentermine,Diarrhea,6,55,49,99,88,147,Yes,Not Applicable,None,Vitamin D,A-,10
Diabetes,Insulin,Diarrhea,8,61,43,69,90,179,No,Not Applicable,Pollen,Iron Supplement,A+,9
PCOS,Metformin,Rash,14,58,47,118,94,166,Occasional,Not Applicable,Dust,None,B-,8
Diabetes,Metformin,Constipation,15,58,43,83,89,156,Yes,No,Peanuts,Calcium,A-,6
Arthritis,Diclofenac,Headache,6,73,42,96,87,152,Yes,No,Pollen,Multivitamin,B-,4
Liver Disease,Ursodeoxycholic Acid,Dizziness,2,72,30,73,86,161,No,Not Applicable,Sulfa,Iron Supplement,O-,6
Asthma,Montelukast,Headache,1,73,47,69,98,160,No,Not Applicable,Penicillin,Multivitamin,B-,8
Thyroid Disorder,Carbimazole,Rash,11,86,35,78,87,127,Occasional,Not Applicable,Dust,Calcium,A-,9
Anxiety,Alprazolam,Sleepiness,7,71,43,95,90,175,Yes,Yes,Pollen,Multivitamin,O-,5
Liver Disease,Rifaximin,Headache,5,72,33,88,89,154,Occasional,Not Applicable,Pollen,Vitamin D,A-,9
Asthma,Budesonide,Vomiting,6,90,43,72,87,145,Occasional,No,Peanuts,Calcium,O-,4
Diabetes,Glimepiride,Nausea,8,71,39,61,88,125,No,Not Applicable,None,Vitamin D,A-,5
Allergy,Cetirizine,Fatigue,5,49,42,80,96,120,Occasional,Not Applicable,Penicillin,None,O+,10
Heart Disease,Clopidogrel,Dizziness,1,71,30,86,91,151,No,Not Applicable,Peanuts,Multivitamin,A+,6
Allergy,Loratadine,Fatigue,11,76,39,109,88,178,Occasional,No,Penicillin,Multivitamin,A+,7
Arthritis,Diclofenac,Diarrhea,5,78,49,73,93,128,No,No,Peanuts,Vitamin D,B-,8
Typhoid,Ciprofloxacin,Constipation,6,70,32,117,84,176,Occasional,Not Applicable,Sulfa,Calcium,AB-,4
Typhoid,Cefixime,Diarrhea,1,84,36,74,86,135,No,No,Penicillin,Vitamin D,A-,4
Thyroid Disorder,Levothyroxine,Nausea,3,72,31,90,98,150,Yes,Not Applicable,Sulfa,Vitamin D,AB-,8
Cancer,Paclitaxel,Dizziness,12,79,39,69,80,133,Yes,No,Pollen,Vitamin D,A-,7
COVID-19,Favipiravir,Diarrhea,12,85,49,68,96,141,Occasional,No,Sulfa,Vitamin D,A+,4
Asthma,Budesonide,Vomiting,13,68,43,84,81,134,Yes,No,None,Vitamin D,O-,6
Depression,Escitalopram,Diarrhea,1,64,31,72,80,171,Occasional,No,None,Vitamin D,B-,7
PCOS,Clomiphene,Dizziness,6,67,50,69,95,144,Yes,No,Pollen,Vitamin D,AB+,10
Depression,Sertraline,Nausea,16,59,41,95,84,126,Occasional,No,Sulfa,Calcium,O+,9
Liver Disease,Ursodeoxycholic Acid,Headache,18,89,39,117,88,149,No,Yes,Sulfa,Multivitamin,O-,5
Migraine,Propranolol,Sleepiness,14,63,39,93,88,155,No,Not Applicable,Dust,Vitamin D,AB+,9
Heart Disease,Atorvastatin,Fatigue,11,69,44,111,98,179,Occasional,No,Pollen,None,AB-,9
Anxiety,Clonazepam,Nausea,6,65,42,62,94,136,No,No,Peanuts,Iron Supplement,B-,9
PCOS,Clomiphene,Rash,14,77,41,69,98,159,No,Yes,Sulfa,Iron Supplement,B-,4
Hypertension,Amlodipine,Fatigue,2,71,42,112,97,136,Occasional,Not Applicable,Pollen,Calcium,B+,7
Hypertension,Amlodipine,Headache,12,72,43,81,89,146,No,Yes,Sulfa,Calcium,O+,4
Malaria,Artemether,Sleepiness,11,67,40,117,97,178,Yes,No,Peanuts,Calcium,B-,4
Thyroid Disorder,Levothyroxine,Dry Mouth,9,82,42,101,90,126,No,No,None,Calcium,AB+,10
Hypertension,Losartan,Diarrhea,15,70,41,101,81,131,Yes,Not Applicable,None,Multivitamin,AB-,5
PCOS,Clomiphene,Dry Mouth,16,87,38,94,84,151,No,Not Applicable,Dust,Iron Supplement,AB+,10
Kidney Disease,Furosemide,Fatigue,1,46,44,95,83,133,No,Not Applicable,Sulfa,Iron Supplement,A+,10
Cancer,Paclitaxel,Constipation,2,58,46,71,94,151,Occasional,No,Dust,Calcium,AB-,8
COVID-19,Remdesivir,Constipation,4,48,49,72,98,179,No,No,Pollen,Multivitamin,B+,7
Obesity,Orlistat,Rash,10,51,49,104,84,138,Occasional,Yes,Peanuts,Vitamin D,O-,6
